id,created_at,text
844736602345656320,2017-03-23 02:24:35,@PRanganathan @MsLynnWhitfield Lady Mae trying to keep up. #Greenleaf
844735848813780992,2017-03-23 02:21:35,@blackglamasoror one eye and one ear you can still keep up. Feel better soon #Greenleaf
844733999381565440,2017-03-23 02:14:14,@MsLynnWhitfield @GreenleafOWN ✋🏽hey Lynn present and watching #Greenleaf
844732384943624195,2017-03-23 02:07:49,@RickFox BRING It! #Greenleaf
844304406711418880,2017-03-21 21:47:11,Greenleafers! Season 2 is heating up &amp; we’re just getting started. I’ll be watching and tweeting with ya TOMORROW n… https://t.co/N8rJiToFRy
844292080469884928,2017-03-21 20:58:12,RT @Essence: We're extremely excited to unveil the cover of our April 2017 issue featuring the iconic @Oprah and @ReneeGoldsberry! Pick you…
843571208700350465,2017-03-19 21:13:43,@Big_Little_Lies Oooo SO well done! @@RWitherspoon 👏🏽👏🏽
843570322020343809,2017-03-19 21:10:12,@RWitherspoon binge watching @Big_Little_Lies .. you ( Madeline) are All THAT!
842517404072665088,2017-03-16 23:26:17,Here's what I've been working on for months. Excited to share the trailer for the Immortal Life of #HenriettaLacks… https://t.co/TOrLExov17
842204489247469569,2017-03-16 02:42:52,"""You always sweet to me""! #Greenleaf"
842201288519573504,2017-03-16 02:30:09,@kirkfranklin YEESSS!! And THanK You #Greenleaf!
842195586858143744,2017-03-16 02:07:29,@ImKeithDavid @GreenleafOWN better one tonight! #Greenleaf
842194757136736257,2017-03-16 02:04:11,AmEn! We're Baaaack! #Greenleaf
842186193374609409,2017-03-16 01:30:10,Only 30 minutes until the premiere of #Greenleaf Season 2! Who will be tweet tweetin?
842155224420687872,2017-03-15 23:27:06,RT @LionsgateTV: Take your seat and prepare for judgment. #Greenleaf returns TONIGHT 10/9c on @OWNTV! https://t.co/FI23SRIPPM
842154992400134148,2017-03-15 23:26:11,RT @MerleDandridge: It's here. Tonight.  Revelation. Redemption. Juicy Condemnation. #Greenleaf Season 2 at 10/9c @GreenleafOWN @OWNTV @Lio…
842154962452795397,2017-03-15 23:26:04,RT @ImKeithDavid: Judgment Day has arrived! Watch the season 2 premiere of @GreenleafOWN TONIGHT on @OWNTV at 10/9C. #Greenleaf https://t.c…
842060428846936065,2017-03-15 17:10:25,Mavis and the entire cast is back y'all. Greenleaf premieres tonight at 10/9c. Tweet party tonight! https://t.co/bLTvoX2wMO
841792104724537344,2017-03-14 23:24:12,"Greenleaf returns tomorrow, 10/9c. I’ll be watching with ya! https://t.co/kR8A70vuyd"
841443700869804032,2017-03-14 00:19:46,Counting down to Wednesday. Greenleaf Season 2 returns 3/15 at 10/9c! 🙌🏾 https://t.co/cbNcfkvYCr
839617264366202880,2017-03-08 23:22:09,I'll be celebrating #internationalwomensday thru June. 10 https://t.co/OsRfVVLGVR graduations to attend from my South African girls!
839616270852997122,2017-03-08 23:18:12,@NateBerkus What a beautiful day that was! And dinner in THE Library!
838185157311881217,2017-03-05 00:31:28,@TimOli1 @wakeupamerica23
836083879286980609,2017-02-27 05:21:45,Whaaaaaaa??!congratulations Moonlight! My favorite #Oscars in memory!!
836047689347293184,2017-02-27 02:57:56,@jimmykimmel half way through and u haven't missed a moment! 👍🏾👍🏾💃🏾 #Oscars
836045598960697344,2017-02-27 02:49:38,RT @tpoulos: @Oprah @violadavis https://t.co/Eg7FgUX8gy
836045539967840257,2017-02-27 02:49:24,O Lord I need a GiF! @violadavis
836045109086969856,2017-02-27 02:47:41,"Hallelujerrrrrrr! @violadavis !  "" We are the only profession that celebrates what it means to live a life!"""
836043622831136768,2017-02-27 02:41:47,Here comes Viola's award!! @violadavis congratulations!👏🏽👏🏽
836039573008334848,2017-02-27 02:25:41,RT @CarpeDiemJBS: Someone hooked girlfriend up this year! Cheryl looks GORGEOUS tonight. #Oscars
836031497911988224,2017-02-27 01:53:36,In tears. Mahershala!!!! Deserved. #Oscars
836029993255723008,2017-02-27 01:47:37,@jimmykimmel 👍🏾👍🏾opening#oscars
826461585099022336,2017-01-31 16:06:11,@JeffFager @60Minutes I'm proud to join forces with the best reporting team in television.
824396928771166209,2017-01-25 23:21:59,Even now looking at this picture  I want to cry. I still can't believe Mary Tyler Moore touched my face. Will love… https://t.co/nGqYdkl6VV
823618017162510336,2017-01-23 19:46:52,"RT @GreenleafOWN: Hallelujah. #Greenleaf is back Wednesday, March 15 at 10/9c. https://t.co/IlRZT5E4NP"
821411894875410432,2017-01-17 17:40:31,RT @WrinkleInTime: LIVE with @Ava from the set of A #WrinkleInTime in #Periscope360. Don't Mrs. it! https://t.co/W7POm8KxOE
821410212527554560,2017-01-17 17:33:50,Follow @WrinkleInTime right now.. we're going bts LiiiiiiVE 360 w/@ava  life is crazy on set.
821401379495215105,2017-01-17 16:58:44,@RWitherspoon @ava  follow @WrinkleInTime
821039355204505600,2017-01-16 17:00:11,"From every mountainside, let freedom ring! #IHaveADream"
818227736854437888,2017-01-08 22:47:49,@CynthiaEriVo most proud and beaming with joy for you and entire cast of @BwayColorPurple. Thank u for a transcendent run. Take your bow👏🏽👏🏽
816403790387507202,2017-01-03 22:00:06,"I felt it ""click"" right from the beginning. On @WeightWatchers, I live the life I want &amp; I never feel deprived.… https://t.co/dXxzTtkEVe"
816311020989710336,2017-01-03 15:51:28,Available today! https://t.co/dyiPRtBlUu #FoodHealthHappiness https://t.co/NluwyeEBrS
813863940069298177,2016-12-27 21:47:38,Remembering the good times with Carrie and her mother. #RIPCarrie https://t.co/aplDPUrfhm
813383899191513089,2016-12-26 14:00:08,This time was different from any other. I live the life i want and never feel deprived...and it WORKS.… https://t.co/1NSvcoHY1V
813235899840405504,2016-12-26 04:12:02,@ava our whole gang watched @HiddenFigures and we agree! #HiddenNoMore https://t.co/5FFinbpBDH
812899351236218880,2016-12-25 05:54:42,"Love , love this movie @LionMovie !! Anyone else see it? https://t.co/lVxqNqz3z9"
812856714424745985,2016-12-25 03:05:17,@sherryknox @FLOTUS hey Sherry thanks.
812856408395780096,2016-12-25 03:04:04,@joleesan jeeezzz! On Christmas Eve sittin in my striped 1zy and socks. Not feeling a bit elitist. Happy holidays to you.
811687028353941505,2016-12-21 21:37:22,"If you missed my interview with FLOTUS Monday, you can watch tonight on @OWNtv at 9/8c. https://t.co/C7r2UxTzCB"
811032716611231744,2016-12-20 02:17:22,@Gatorstock44 @markknoller @BretBaier Brian I respectfully disagree..everyone who disagrees is NOT racist. Disagreements Can be healthy.
811027364448649216,2016-12-20 01:56:06,Thanks @TaraMontyONC and  OWN team for filming editing producing this FLOTUS Farewell in 4 days. Bravo team mates👏🏽👏🏽
811026763757154305,2016-12-20 01:53:43,@kenlikebarbie the flow of it. even when she didnt want to answer that one question. Handled with such class.
811023096916258816,2016-12-20 01:39:09,@katoffermann @FLOTUS thanks Kathleen she inspires me too.
811022321016180736,2016-12-20 01:36:04,@da_same_ole_G thank you and your daughter 👍🏾
811021974457577472,2016-12-20 01:34:41,"@ladymax47 yes that ""being grown "" thing is real!"
811016701064069120,2016-12-20 01:13:44,@GrowingOWN @Brandonmaxwell  felt great in his dress. Sits well.👍🏾
811010033068560385,2016-12-20 00:47:14,@3LWTV @CBS @FLOTUS @MichelleObama hey where tou watching from?
811009932610805760,2016-12-20 00:46:50,RT @3LWTV: So ready for #OprahandFLOTUS tonight on @CBS 8p/7p @Oprah @FLOTUS @MichelleObama https://t.co/eBptwgvb2y
810909193293004801,2016-12-19 18:06:32,"Tonight on CBS, 8/7c. #OprahandFLOTUS https://t.co/nbBsferxpK"
810504286727639040,2016-12-18 15:17:35,"@Brandonmaxwell luv dress u designed to interview FLOTUS. It ""sits"" well. Thanks @GrowingOWN for introducing us👍🏾 https://t.co/dH44lVUjdE"
806323556673929216,2016-12-07 02:24:51,@VanJones68 watching you unravel #TheMessyTruth . Reminds me of Oprah Show days. Much needed conversation👍🏾👍🏾
804199819199672320,2016-12-01 05:45:52,"Thank you for your ever-growing support on #QueenSugar. Now a People’s Choice Award nominee. Voting ends Dec 15th!
https://t.co/8bY7y0PrhE"
804173008663355392,2016-12-01 03:59:20,".@ava  cryin' and I knew it was coming. Thank you my Dear Sister for showing US so beautifully to Ourselves,the world. Bravo👏🏽👏🏽 #QueenSugar"
804171422314692611,2016-12-01 03:53:02,@JuJuBreauxD I did👋🏽
804170633877843968,2016-12-01 03:49:54,@ava holding my breath😷 for the dance. #QueenSugar
