id,created_at,text
846743997150367744,2017-03-28 15:21:15,RT @PressSec: .@POTUS @VP &amp; Attorney General Sessions welcome members of @GLFOP to @WhiteHouse https://t.co/OjIMiVbFnv
846471396184199168,2017-03-27 21:18:02,Take a 360° look inside of the historic Oval Office: https://t.co/G1DozXfZBj
846461262590595072,2017-03-27 20:37:46,"RT @VP: Productive conversation w/ @POTUS, @IvankaTrump &amp; diverse women small biz owners from around the U.S. as we celebrate #WomensHistor…"
846449631512985600,2017-03-27 19:51:33,"RT @POTUS: I'll keep working with Congress, agencies, and the American people until we eliminate every unnecessary, job-killing regulation…"
846449589205028864,2017-03-27 19:51:22,"RT @POTUS: Today I'm signing 4 bills under the Congressional Review Act that cancels regulations &amp; eliminates unnecessary, job-killing rule…"
846014649724104705,2017-03-26 15:03:05,#ICYMI: Watch @POTUS' Weekly Address https://t.co/LYY3iEzV7G https://t.co/cwyJ8I7jQo
845699338957414402,2017-03-25 18:10:09,Happy #MedalOfHonorDay to our heroes: https://t.co/7vrzYLpUOL https://t.co/A7IYSlRgoc
845683243827519488,2017-03-25 17:06:12,"RT @NASA: Watch @WhiteHouse’s weekly address about NASA Authorization Act signed by @POTUS, continuing missions of exploration https://t.co…"
845682819150045185,2017-03-25 17:04:30,RT @PressSec: WATCH Weekly Address: @POTUS renews our national commitment to @NASA's mission of exploration &amp; discovery. https://t.co/PSjLr…
845681937410904069,2017-03-25 17:01:00,RT @VP: Landed in Charleston! @SBALinda &amp; I are headed to Foster Supply to meet the small businesses that are the backbone of our economy.…
845656860028010499,2017-03-25 15:21:21,RT @POTUS: ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!
845649863761104896,2017-03-25 14:53:33,RT @POTUS: Weekly Address - 11:00 A.M. today! ➡️https://t.co/CppERgEPBf https://t.co/tDAbRHdAi7
